"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","condition_wall","condition_floors","condition_windows","condition_stairways","X_35a","X_38a"
"1",33458,545,545,0,0,0,4,4,2,2,2,0,0
"2",6000,99999,99999,0,0,0,5,4,2,2,2,0,0
"3",26000,99999,99999,0,0,0,5,0,2,2,2,0,0
"4",8000,99999,99999,0,0,0,5,4,2,2,2,0,0
"5",55600,700,700,0,0,0,6,4,2,2,2,3,0
"6",18000,99999,99999,0,0,0,5,4,2,2,2,0,0
"7",56860,700,555,0,0,0,5,2,2,2,2,3,0
"8",3956,450,450,0,0,0,3,0,2,2,2,3,0
"9",39689,99999,99999,0,0,0,7,0,0,2,0,0,0
"10",33248,640,640,0,0,0,3,0,2,2,2,0,0
"11",20584,535,253,0,0,0,3,4,2,2,2,3,3
"12",4000,700,0,0,0,0,5,0,2,2,2,3,0
"13",4272,650,99998,0,0,0,4,4,2,2,2,0,0
"14",4644,270,270,0,0,0,5,4,2,2,2,0,0
"15",42521,99999,99999,0,0,0,6,0,2,2,2,0,0
"16",13000,800,99998,0,0,0,5,2,2,2,2,0,0
"17",6276,199,0,0,0,0,4,4,2,2,2,3,3
"18",28000,421,225,0,0,0,3,0,2,2,2,0,3
"19",290,153,0,0,0,0,5,2,2,2,2,3,0
"20",14300,228,0,0,0,0,5,4,2,2,2,3,3
"21",23904,99999,99999,0,0,0,5,4,2,2,0,0,0
"22",20800,700,700,0,0,0,5,4,2,2,2,0,0
"23",11000,700,99998,0,0,0,4,0,2,2,0,0,0
"24",11000,400,400,0,0,0,1,2,2,6,0,0,0
"25",48000,750,750,0,0,0,4,2,2,2,2,0,3
"26",10260,99999,99999,0,0,2,4,4,2,2,2,0,0
"27",60000,800,800,0,0,0,4,4,2,2,2,0,0
"28",999999,580,99998,0,0,0,3,0,2,2,2,0,0
"29",9732,716,502,0,0,0,4,4,2,2,2,3,3
"30",12552,416,416,0,0,0,4,4,2,2,2,0,0
"31",9400,580,580,0,0,0,4,4,2,2,2,0,0
"32",15036,88,88,0,0,0,6,4,2,2,2,0,0
"33",7044,84,84,0,0,0,5,4,2,2,2,0,0
"34",4062,270,270,0,0,0,5,2,2,2,2,3,0
"35",15960,99999,99999,0,0,0,3,4,2,2,0,0,0
"36",12000,99999,99999,0,0,0,3,4,2,2,0,0,0
"37",18000,700,700,0,0,0,5,4,2,2,2,0,0
"38",35000,99999,99999,0,0,0,3,4,2,2,2,0,0
"39",32000,99999,99999,0,0,0,5,4,2,2,2,0,0
"40",30000,641,641,0,0,0,6,4,2,2,2,3,3
"41",7000,332,323,0,0,0,6,4,2,2,2,0,3
"42",6000,332,323,0,0,0,5,4,2,2,2,3,0
"43",12160,650,650,0,0,0,4,2,2,2,2,0,0
"44",12480,99999,99999,0,0,0,5,4,2,2,2,3,3
"45",10000,650,650,0,0,0,3,4,2,2,2,0,3
"46",12200,500,100,0,0,0,4,4,2,2,2,0,3
"47",27000,381,99998,0,0,0,2,0,0,2,0,0,0
"48",6500,376,176,0,0,0,1,2,2,2,2,3,0
"49",67000,400,99998,0,0,0,4,0,2,2,2,0,0
"50",11000,371,0,0,0,0,4,2,2,2,2,0,3
"51",7044,146,146,0,0,0,4,4,2,2,2,3,0
"52",6684,124,124,0,0,0,3,4,2,2,2,0,0
"53",7284,178,178,0,0,0,2,4,2,2,2,0,0
"54",5000,130,130,0,0,0,2,4,2,2,2,0,0
"55",7214,136,136,0,0,0,3,4,2,2,2,0,0
"56",20671,465,465,0,0,0,2,4,2,2,2,0,0
"57",6876,465,179,0,0,0,5,0,2,2,2,0,3
"58",290,350,350,0,0,2,1,2,6,6,2,0,0
"59",36000,99999,99999,0,0,0,6,4,2,4,2,0,0
"60",11400,948,0,0,0,0,7,4,2,2,2,0,0
"61",9744,247,247,0,0,0,5,4,2,2,2,3,0
"62",25900,367,367,0,0,0,7,4,2,2,2,3,3
"63",5208,250,250,0,0,0,7,4,2,2,2,0,0
"64",13000,600,600,0,0,0,4,0,2,2,2,3,3
"65",999999,550,0,0,0,2,4,4,2,2,2,3,3
"66",25000,600,99998,0,0,0,4,0,2,2,2,0,0
"67",999999,550,0,0,0,0,3,2,2,2,2,3,0
"68",9600,400,60,0,0,0,5,4,2,2,2,0,0
"69",36000,631,421,0,0,0,3,4,2,2,2,0,0
"70",12000,500,99998,0,0,0,3,0,2,2,2,0,0
"71",13468,274,274,0,0,0,3,4,2,2,2,3,0
"72",7200,170,170,0,0,0,3,4,2,2,2,0,0
"73",7000,164,164,0,0,0,3,4,2,2,2,3,0
"74",6000,145,145,0,0,0,2,4,2,2,2,3,0
"75",4272,250,99998,0,0,0,3,0,2,2,2,0,0
"76",5112,125,99998,0,0,0,2,0,2,2,2,0,0
"77",999999,322,322,0,0,0,5,4,2,2,2,0,0
"78",8200,322,322,0,0,0,4,4,2,2,2,0,0
"79",6984,139,0,0,0,0,3,4,2,2,2,0,0
"80",7596,629,148,0,0,0,3,4,2,2,2,3,0
"81",7044,755,132,0,0,0,4,4,2,2,2,0,0
"82",6360,91,91,0,0,0,5,2,2,2,2,0,0
"83",95000,99999,99999,0,0,0,8,4,0,2,0,3,0
"84",999999,500,250,0,0,0,4,6,0,2,0,3,3
"85",16000,546,246,0,0,0,4,4,2,2,2,3,3
"86",10000,651,14,0,0,0,5,4,2,2,2,0,0
"87",3000,598,348,0,0,0,6,2,2,2,2,3,3
"88",9000,598,598,0,0,2,5,2,2,2,2,3,3
"89",37000,1028,99998,0,0,0,6,0,2,2,2,0,0
"90",47000,850,850,0,0,0,6,4,2,2,2,3,0
"91",17412,550,99998,0,0,0,4,0,2,2,2,0,0
"92",13728,500,500,0,0,0,5,2,2,2,2,0,3
"93",4000,334,334,0,0,0,3,0,2,2,2,3,3
"94",8544,500,275,0,0,0,4,4,2,2,2,0,0
"95",9600,445,99998,0,0,0,3,0,2,2,2,0,0
"96",49400,509,509,0,0,0,4,0,2,2,2,3,3
"97",15500,150,150,0,0,0,4,4,2,2,2,0,0
"98",12000,331,331,0,0,0,5,4,2,2,2,0,0
"99",4692,153,0,0,0,0,5,4,2,2,2,0,0
"100",7700,215,0,0,0,0,4,4,2,2,2,0,0
"101",3000,153,0,0,0,0,5,0,2,2,2,3,0
"102",35855,117,0,0,0,0,3,4,2,2,2,0,0
"103",14232,87,87,0,0,0,3,2,2,2,2,3,0
"104",68000,151,151,0,0,0,4,4,2,2,2,3,0
"105",6048,107,0,0,0,0,5,4,2,2,2,3,3
"106",7380,130,130,0,0,2,4,4,2,2,2,3,0
"107",8916,136,136,0,0,0,4,4,2,2,2,0,0
"108",4224,144,0,0,0,0,4,0,2,2,2,0,3
"109",37000,495,495,0,0,0,4,2,2,2,2,0,0
"110",12800,200,0,0,0,0,4,2,2,2,2,0,0
"111",37000,125,99998,0,0,0,3,0,2,2,2,0,0
"112",44000,150,150,0,0,0,6,0,2,2,2,3,0
"113",4500,137,0,0,0,0,4,0,2,2,2,0,0
"114",7200,160,160,0,0,0,5,4,2,2,2,0,0
"115",3000,229,229,0,0,0,3,4,2,2,2,0,0
"116",26000,374,374,0,0,2,3,4,2,2,2,0,0
"117",7356,197,197,0,0,0,2,4,2,2,2,0,0
"118",12000,137,137,0,0,0,3,4,2,2,2,0,3
"119",7068,177,177,0,0,0,3,4,2,2,2,0,0
"120",30700,433,433,0,0,0,5,4,2,2,2,0,3
"121",6132,137,137,0,0,0,4,4,2,2,2,0,0
"122",8568,214,214,0,0,0,4,4,2,2,2,0,0
"123",2712,195,195,0,0,0,4,4,2,2,2,0,3
"124",6960,244,244,0,0,0,4,4,2,2,2,3,0
"125",11250,375,375,0,0,0,3,0,2,2,2,3,3
"126",29270,430,430,0,0,0,3,0,0,2,2,3,3
"127",3600,125,125,0,0,0,3,0,0,2,2,0,0
"128",35694,855,48,0,0,0,5,0,4,2,2,0,3
"129",46272,825,0,0,0,0,4,4,4,2,2,0,3
"130",19500,300,99998,0,0,0,5,0,4,2,2,0,0
"131",2000,1200,130,0,0,0,5,4,4,2,2,3,0
"132",9516,173,173,0,0,2,4,2,2,2,2,3,0
"133",15130,158,158,0,0,0,4,0,2,2,2,0,3
"134",9456,154,154,0,0,0,3,2,2,2,2,0,0
"135",32008,99999,99999,0,0,0,5,4,2,2,2,3,0
"136",21000,247,99998,0,0,0,4,0,2,2,2,0,0
"137",7560,144,144,0,0,0,3,4,2,2,2,0,0
"138",2616,761,246,0,0,0,4,4,2,2,2,0,3
"139",3640,125,99998,0,0,0,3,0,2,2,2,0,0
"140",27000,125,99998,0,0,0,3,0,2,2,2,0,0
"141",51284,525,314,0,0,0,5,6,4,2,2,0,3
"142",7200,491,491,0,0,0,3,2,4,2,2,0,3
"143",34000,404,404,0,0,0,4,6,4,2,2,0,0
"144",20000,345,345,0,0,0,3,6,4,2,2,0,0
"145",4488,163,0,0,0,0,6,0,2,2,2,0,0
"146",7044,164,164,0,0,0,3,4,2,2,2,0,0
"147",35000,387,387,0,0,0,4,4,2,2,2,0,0
"148",5184,170,170,0,0,0,3,4,2,2,2,0,0
"149",35560,495,495,0,0,0,4,4,2,2,2,0,0
"150",3000,170,170,0,0,0,4,4,2,2,2,0,0
"151",32000,356,356,0,0,0,4,2,2,2,2,0,3
"152",999999,270,0,0,0,0,5,0,2,2,2,3,3
"153",7200,170,170,0,0,0,4,4,2,2,2,3,0
"154",7224,170,170,0,0,0,4,0,2,2,2,0,0
"155",12648,137,137,0,0,0,4,4,2,2,2,0,0
"156",42000,170,99998,0,0,0,4,0,2,2,2,0,0
"157",6000,170,170,0,0,0,4,4,2,2,0,0,0
