"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","cond_wall","cond_floor","cond_windows","cond_stairway","X_35a","X_38a"
"1",999998,250,NA,0,2,9,4,9,2,2,2,2,2
"2",6200,349,NA,0,2,5,5,13,2,2,2,1,1
"3",6400,490,NA,0,2,9,3,9,2,2,2,1,2
"4",28000,360,NA,0,2,9,2,9,2,2,2,1,1
"5",7500,350,NA,0,2,9,3,3,4,4,2,2,1
"6",7700,180,NA,0,2,9,3,13,2,2,2,2,1
"7",29000,509,NA,0,2,9,4,11,2,2,2,2,2
"8",25600,99999,NA,0,2,9,2,9,2,2,2,2,2
"9",84000,740,NA,0,2,9,5,9,2,2,2,2,2
"10",65500,99999,NA,0,2,9,8,9,2,2,2,2,2
"11",35404,99999,NA,0,2,9,6,9,2,2,2,2,2
"12",48000,99999,NA,0,2,9,7,9,2,2,2,2,2
"13",999998,99999,NA,0,2,9,6,9,2,2,2,1,2
"14",27400,411,NA,0,2,5,4,11,2,2,2,1,1
"15",14000,250,NA,0,1,2,1,13,2,2,2,1,1
"16",999998,575,NA,0,1,8,4,9,2,2,2,8,8
"17",20275,700,NA,0,2,9,4,9,2,2,2,2,2
"18",6300,99999,NA,0,2,3,4,9,2,2,0,2,2
"19",16500,411,NA,0,2,9,3,9,2,2,2,2,2
"20",999998,99999,NA,0,2,9,5,9,2,2,2,2,2
"21",999998,450,NA,0,2,8,3,9,2,2,2,8,8
"22",999998,168,NA,0,2,5,4,9,2,2,2,1,2
"23",999998,550,NA,0,8,8,2,9,2,2,2,8,8
"24",14000,636,NA,0,2,9,4,9,2,2,2,2,2
"25",999998,295,NA,0,2,8,5,9,2,2,2,8,8
"26",14100,285,NA,0,2,9,3,11,2,2,2,1,1
"27",50000,577,NA,0,2,9,3,9,2,2,2,2,2
"28",6700,102,NA,1,2,9,4,13,2,2,2,2,1
"29",25000,550,NA,0,1,9,5,11,2,2,2,1,1
"30",22000,862,NA,0,2,5,5,13,2,2,2,1,1
"31",999998,337,NA,0,2,8,3,9,2,2,2,8,8
"32",9444,370,NA,0,2,9,4,9,0,2,0,1,2
"33",7759,345,NA,0,2,9,4,9,2,2,2,1,2
"34",36912,99999,NA,0,2,3,3,9,2,2,2,2,2
"35",7116,202,NA,0,2,9,4,11,2,2,2,2,2
"36",13656,447,NA,0,2,9,4,9,2,2,2,2,2
"37",26000,550,NA,0,2,2,3,9,2,2,2,2,2
"38",999998,99999,NA,0,2,9,7,9,2,2,2,2,2
"39",37000,99999,NA,0,2,9,4,9,2,2,2,2,2
