"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","cond_wall","cond_floor","cond_windows","cond_stairway","X_35a","X_38a"
"2303",14400,341,341,1,8,9,3,0,2,2,2,2,2
"2304",33000,702,702,1,2,9,1,0,2,2,2,2,2
"2305",201000,99999,99999,1,2,9,4,0,2,2,0,2,2
"2306",201000,99999,99999,1,1,2,4,0,2,2,2,2,2
"2307",2568,2800,0,1,2,9,2,0,2,2,2,1,2
"2308",22000,1600,1600,1,2,8,4,0,0,2,2,8,8
"2309",12648,530,530,1,1,9,1,0,2,2,2,2,2
"2310",29252,215,215,1,1,2,1,0,2,2,2,2,2
"2311",10936,236,236,1,1,9,1,0,2,2,2,1,2
"2312",10440,402,359,1,1,3,1,0,2,2,2,2,2
"2313",120000,2900,2900,1,2,9,3,0,2,2,2,2,2
"2314",160000,1500,1500,1,8,8,2,0,2,2,2,8,8
"2315",80604,218,218,1,2,9,2,0,2,2,2,2,2
"2316",19000,217,217,1,2,9,3,0,2,2,2,2,2
"2317",17600,219,219,1,2,9,3,0,2,2,2,2,2
"2318",250000,2100,2100,1,2,9,7,4,0,2,0,1,1
"2319",130000,2000,2000,1,1,5,6,0,2,2,0,1,2
"2320",60000,2782,2782,1,2,9,3,2,2,2,2,1,2
"2321",8000,99999,99999,1,2,9,4,0,2,2,0,2,2
"2322",150000,99999,99999,1,2,9,3,0,2,2,2,2,2
"2323",1273606,99999,99999,1,2,9,5,0,2,2,0,2,2
"2324",22800,99999,99999,1,2,9,2,0,2,2,2,2,2
"2325",84000,2600,2600,1,2,9,1,0,0,2,2,2,2
"2326",9999999,99999,99999,1,2,9,3,0,2,2,2,2,1
"2327",148000,3900,3900,1,1,9,6,0,2,2,2,1,2
"2328",370000,99999,99999,1,2,8,8,0,2,2,2,8,8
"2329",2547212,99999,99999,1,8,9,8,0,2,2,2,2,2
"2330",35000,99999,99999,1,2,9,4,0,2,2,2,2,2
"2331",100000,99999,99999,1,2,9,2,0,2,2,2,2,2
"2332",200000,99999,99999,1,2,9,3,0,2,2,2,2,2
"2333",481669,3500,3500,1,2,2,5,0,2,2,2,2,1
"2334",210600,2850,2850,1,2,9,2,0,2,2,2,2,2
"2335",100000,99999,99999,1,2,9,1,2,2,2,2,2,2
"2336",45000,99999,99999,1,2,9,1,0,2,2,2,2,2
"2337",17000,3000,3000,1,2,9,3,0,2,2,2,2,2
