"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","condition_wall","condition_floors","condition_windows","condition_stairways","X_35a","X_38a"
"11828",53800,548,548,0,0,0,3,2,2,2,2,3,3
"11829",6672,553,183,0,0,0,1,4,2,2,2,0,0
"11830",31500,1000,1000,0,0,0,4,4,2,2,2,0,0
"11831",16600,900,722,0,0,0,4,4,2,2,2,3,3
"11832",64760,820,820,0,0,0,4,4,2,2,2,0,0
"11833",58200,613,613,0,0,0,3,4,2,2,2,3,3
"11834",22000,680,680,0,0,2,3,0,2,2,2,3,3
"11835",65000,650,99998,0,0,0,5,0,2,2,2,0,0
"11836",30000,600,600,0,0,0,3,4,2,2,2,3,0
"11837",27000,400,400,0,0,0,6,0,2,2,2,3,0
"11838",6684,175,175,0,0,0,3,0,2,2,2,3,3
"11839",8230,286,286,0,0,0,4,0,2,2,4,3,3
"11840",2580,99999,99999,0,0,0,1,0,2,2,2,0,3
"11841",11248,220,0,0,0,0,5,2,2,2,2,3,0
"11842",11850,337,0,0,0,2,5,6,2,2,2,0,3
"11843",32300,270,0,0,0,0,4,4,2,2,4,3,3
"11844",7056,200,200,0,0,0,4,2,2,2,2,0,0
"11845",22000,247,247,0,0,0,4,4,2,2,2,3,3
"11846",8376,550,66,0,0,0,4,4,2,2,2,0,0
"11847",18000,193,193,0,0,0,5,0,0,2,2,0,0
"11848",4760,99999,99999,0,0,0,3,4,2,2,2,0,0
"11849",47010,99999,99999,0,0,0,3,4,2,2,2,0,0
"11850",14100,99999,99999,0,0,0,4,4,2,2,2,0,0
"11851",51000,850,850,0,0,0,4,4,2,2,2,0,0
"11852",12000,350,350,0,0,0,3,4,2,2,2,0,0
"11853",41000,775,775,0,0,0,4,4,2,2,2,0,0
"11854",9000,99999,99999,0,0,0,6,4,2,2,2,0,0
"11855",48200,99999,99999,0,0,0,5,4,0,2,0,0,0
"11856",4900,596,596,0,0,0,4,4,2,2,2,0,0
"11857",12000,600,99998,0,0,0,4,0,2,2,2,0,0
"11858",44000,99999,99999,0,0,0,5,4,2,2,2,0,0
"11859",54000,743,743,0,0,0,4,4,2,2,2,3,3
"11860",999999,807,99998,0,0,0,1,4,2,2,2,0,0
"11861",999999,500,500,0,0,0,3,4,2,2,2,0,0
"11862",7000,99999,99999,0,0,0,5,4,2,2,2,0,0
"11863",305107,467,467,0,0,0,5,6,2,2,2,3,3
"11864",65000,99999,99999,0,0,0,5,4,2,2,2,0,0
"11865",999999,655,655,0,0,0,4,4,2,2,2,3,0
"11866",5938,194,99998,0,0,0,4,0,2,2,2,0,0
"11867",70000,546,546,0,0,0,3,0,2,2,2,3,0
"11868",5040,620,620,0,0,0,3,4,2,2,2,0,0
"11869",5105,500,0,0,0,0,5,2,2,2,2,3,0
"11870",5400,159,159,0,0,0,1,4,2,2,2,3,0
"11871",70000,99999,99999,0,0,2,5,4,2,2,2,3,0
"11872",34000,175,175,0,0,0,4,4,2,2,2,0,0
"11873",9312,580,90,0,0,0,4,0,2,2,2,3,3
"11874",97000,600,99998,0,0,0,4,0,2,2,2,0,0
"11875",28000,630,630,0,0,0,3,4,2,2,2,0,0
"11876",35000,890,99998,0,0,0,3,0,2,2,2,0,0
"11877",15540,612,612,0,0,0,2,2,2,2,2,3,3
"11878",24000,300,300,0,0,0,5,4,2,2,2,0,0
"11879",999999,950,950,0,0,0,3,0,2,2,2,0,0
"11880",2304,613,0,0,0,0,3,4,2,2,2,3,0
"11881",45000,706,706,0,0,0,5,4,2,2,2,0,0
"11882",48200,650,650,0,0,0,3,4,2,2,2,0,0
"11883",41200,600,600,0,0,0,3,4,2,2,2,3,0
"11884",31400,550,550,0,0,0,3,4,2,2,2,0,0
"11885",35000,501,501,0,0,0,3,4,2,2,2,0,0
"11886",7200,200,200,0,0,0,4,4,2,2,2,0,3
"11887",46580,99999,99999,0,0,0,4,4,2,2,4,0,0
"11888",6000,269,99998,0,0,0,4,2,2,2,2,3,0
"11889",7000,600,600,0,0,0,5,2,2,2,2,3,0
"11890",163000,99999,99999,0,0,0,7,4,2,2,2,0,0
"11891",48870,99999,99999,0,0,0,6,4,2,2,2,0,0
"11892",49500,99999,99999,0,0,0,6,4,2,2,2,0,0
"11893",26472,600,600,0,0,0,5,4,2,2,2,0,0
"11894",12000,957,957,0,0,0,5,2,2,2,2,0,0
"11895",30000,700,700,0,0,0,4,4,2,2,2,0,0
"11896",29000,500,500,0,0,0,5,4,2,2,2,0,0
"11897",25700,1000,1000,0,0,0,5,2,2,2,2,0,3
"11898",18612,632,632,0,0,0,3,4,2,2,2,0,0
"11899",14868,392,99998,0,0,0,5,0,2,2,2,0,0
"11900",35000,600,600,0,0,0,6,4,2,2,2,0,0
"11901",16600,800,99998,0,0,0,3,2,2,2,2,3,0
"11902",9000,117,117,0,0,0,4,2,2,2,2,0,0
"11903",95000,99999,99999,0,0,0,6,4,2,2,2,0,0
"11904",8160,720,300,0,0,0,3,4,2,2,2,0,0
"11905",22000,352,352,0,0,0,6,4,2,2,2,3,3
"11906",28000,600,600,0,0,0,3,4,2,2,2,0,0
"11907",2112,400,185,0,0,0,4,2,2,2,2,3,0
"11908",6000,99999,99999,0,0,0,3,4,2,2,2,0,0
"11909",12000,99999,99999,0,0,0,3,4,2,2,2,0,0
"11910",58500,830,830,0,0,0,4,4,2,2,2,0,3
"11911",13000,600,99998,0,0,0,3,0,2,2,2,0,0
"11912",18000,575,575,0,0,0,3,0,2,2,2,3,3
"11913",56000,99999,99999,0,0,0,6,4,2,2,2,0,0
"11914",5000,99999,99999,0,0,0,4,0,0,2,2,0,0
"11915",2088,370,154,0,0,2,1,4,2,2,2,3,3
"11916",4200,151,151,0,0,0,4,4,2,2,2,3,0
"11917",36000,99999,99999,0,0,0,3,4,2,2,2,0,0
"11918",22000,200,200,0,0,0,4,4,2,2,2,0,0
"11919",70000,99999,99999,0,0,0,3,4,2,2,2,0,0
"11920",5590,938,500,0,0,0,5,2,2,2,2,3,3
"11921",18000,200,200,0,0,0,4,4,2,2,2,3,3
"11922",11052,99999,99999,0,0,0,5,4,2,2,2,0,0
"11923",6500,99999,99999,0,0,0,3,4,2,2,2,0,0
"11924",6480,928,106,0,0,0,3,4,2,2,2,3,0
"11925",39500,99999,99999,0,0,0,8,2,2,2,2,0,0
"11926",16000,99999,99999,0,0,0,5,4,2,2,2,0,0
"11927",4800,560,99998,0,0,0,4,0,2,2,2,3,0
"11928",30000,99999,99999,0,0,0,6,4,2,2,2,0,0
"11929",55000,99999,99999,0,0,0,5,4,2,2,2,0,0
"11930",24000,483,483,0,0,0,5,4,2,2,2,3,0
"11931",12592,367,367,0,0,0,5,0,2,2,2,3,3
